SourceText,Hebrew,Arabic
# Teaching Snapshot,# מבט חטוף על ההוראה,# لقطة موجزة عن التدريس
## Outstanding Performance,## ביצועים יוצאי דופן,## أداء متميز
## Long-Term Growth Opportunity,## הזדמנות לצמיחה לטווח ארוך,## فرصة نمو على المدى الطويل
## Successful Practices,## פרקטיקות מוצלחות,## ممارسات ناجحة
## Opportunities for Enhancement,## הזדמנויות לשיפור ושדרוג,## فرص للتحسين والتطوير
## Recommended Actions for Next Session,## פעולות מומלצות לשיעור הבא,## إجراءات موصى بها للحصّة القادمة
# Class Analysis Report,## דוח ניתוח השיעור,## تقرير تحليل الحصّة
"<p style='margin: 10px 0 0 0; color:\n#6b7280;'>Comprehensive class analysis with examples, interactions, and\ninsights</p>","<p style='margin: 10px 0 0 0; color:\n#6b7280;'>ניתוח מפורט של השיעור עם דוגמאות, אינטראקציות ותובנות</p>","<p style='margin: 10px 0 0 0; color:\n#6b7280;'>تحليل شامل للحصّة مع أمثلة، تفاعلات ورؤى</p>"
## Class Structure,## מבנה השיעור,## بنية الحصّة
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb;'>Section</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>חלק / מדור</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>القسم</th>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb;'>Start</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>התחלה</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>البدء</th>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb;'>End</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>סיום</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>النهاية</th>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb;'>Duration</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>משך זמן</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb;'>المدة</th>"
## Examples from Class,## דוגמאות מהשיעור,## أمثلة من الحصّة
"<p style='color: #6b7280; font-style: italic;'>Real\nexamples used during instruction</p>","<p style='color: #6b7280; font-style: italic;'>דוגמאות אמיתיות ששימשו במהלך השיעור</p>","<p style='color: #6b7280; font-style: italic;'>أمثلة حقيقية استخدمت أثناء الشرح</p>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb; width: 20%;'>Topic</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 20%;'>נושא</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 20%;'>الموضوع</th>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb; width: 65%;'>Example</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 65%;'>דוגמה</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 65%;'>مثال</th>"
"<th style='padding: 12px; text-align: left;\nborder-bottom: 2px solid #e5e7eb; width: 15%;'>Reference</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 15%;'>סימוכין / מקור</th>","<th style='padding: 12px; text-align: right;\nborder-bottom: 2px solid #e5e7eb; width: 15%;'>المرجع</th>"
## Questions for Students,## שאלות לתלמידים,## أسئلة للطلاب
